athlete_name,id,PR_seconds
"Post, Nick",6907624,1025.079999923706
"Rainey, Jake",3278593,891.6599998474121
"Rivera, Travis",3705916,1123.6199989318848
"Routledge, Scott",7787789,929.75
"Tamayo, Laurencio",2865935,1035.579999923706
"Taranto, Mike",8623444,907.3800001144409
"Thomas, Matthew",5982201,862.7199993133545
"Trajkovsky, Christopher",2110275,1026.5100002288818
"Wagner, Andrew",1855442,951.8600006103516
"Walsh, Timothy",7722438,941.5800018310547
"Brown, Nathan",6908890,999.2400016784668
"Bulger, Max",3176584,959.8699989318848
"Corliss, TJ",6879629,893.7099990844727
"Cox, Dominique",8572210,998.5800018310547
"Day, Thomas",4051022,902.25
"Degree, Lucas",3266447,870.4099998474121
"Derfel, Silas",6893900,851.6000003814697
"Eves, Brock",6009457,870.2000007629395
"Foust, Mike",4111930,965.210000038147
"Hahn, Ben",1749653,853.2700004577637
"Hardy, Quentin",8931264,941.75
"Hebert, Corey",4068861,1069.8600006103516
"Jacobson, Matt",4700437,935.7200012207031
"Hernandez, Gerardo",3328286,932.5800018310547
"Kroeger, Kristopher",2209887,926.2399997711182
"Ackley, Clayton",8613886,890.75
"Alvarez, Lucas",7917075,986.3400001525879
"Baker, Quinn",8327627,889.1199989318848
"Beede, Briar",3276046,923.5
"Black, Colin",7392988,882.8199996948242
"Burdett, Cullin",5999381,897.3600006103516
"Burke, Calder",8627103,951.2200012207031
"Carson, Dray",4983569,907.6500000953674
"Celico, Nick",5516533,892.9799995422363
"Conrad, Keegan",5016892,989.329999923706
"Dorst, Wesley",7760708,1224.8600006103516
"Engholm, Elmar",4186013,896.7000007629395
"Foote, Austin",7382731,952.9500007629395
"Gonzalez, Tomas",6007260,988.420000076294
"Harding, Isaac",7721015,814.5400009155273
"Hoffstaetter, Timothy",7735630,974.8000001907349
"Italiano, Tyler",5464767,867.7999992370605
"Jenkins, Patrick",1238846,906.579999923706
"Kibler, Chris",2217639,884.0099983215332
