,athlete_link,athlete_name,meet_date,rank,team_link,team_name,time,year
729,https://tf.tfrrs.org/athletes/4593131/StMary-KS/Josh_Whittaker,"Whittaker, Josh","Apr 8, 2015",1,https://tf.tfrrs.org/teams/tf/KS_college_m_StMary-KS.html,St. Mary (Kan.),15:08.80,SR-4
730,https://tf.tfrrs.org/athletes/5165479/StMary-KS/Ryan_Pulsifer,"Pulsifer, Ryan","Apr 8, 2015",2,https://tf.tfrrs.org/teams/tf/KS_college_m_StMary-KS.html,St. Mary (Kan.),15:12.27,JR-3
731,https://tf.tfrrs.org/athletes/4174753/StMary-KS/Brooks_Ballou,"Ballou, Brooks","Apr 8, 2015",3,https://tf.tfrrs.org/teams/tf/KS_college_m_StMary-KS.html,St. Mary (Kan.),15:14.21,SR-4
732,https://tf.tfrrs.org/athletes/5036996/StMary-KS/Tony_Weber,"Weber, Tony","Apr 15, 2015",4,https://tf.tfrrs.org/teams/tf/KS_college_m_StMary-KS.html,St. Mary (Kan.),15:19.99,FR-1
733,https://tf.tfrrs.org/athletes/5003850/Kansas_Wesleyan/Louis_Edmiston,"Edmiston, Louis","Apr 8, 2015",5,https://tf.tfrrs.org/teams/tf/KS_college_m_Kansas_Wesleyan.html,Kansas Wesleyan,15:26.25,JR-3
734,https://tf.tfrrs.org/athletes/3758839/Tabor/Joel_Allen,"Allen, Joel","Apr 8, 2015",6,https://tf.tfrrs.org/teams/tf/KS_college_m_Tabor.html,Tabor,15:27.24,SR-4
735,https://tf.tfrrs.org/athletes/4152965/Ottawa/Jeo_Mendez,"Mendez, Jeo","Mar 28, 2015",7,https://tf.tfrrs.org/teams/tf/KS_college_m_Ottawa.html,Ottawa,15:29.06,SR-4
736,https://tf.tfrrs.org/athletes/4599424/McPherson/Dixon_Cooney,"Cooney, Dixon","Mar 27, 2015",8,https://tf.tfrrs.org/teams/tf/KS_college_m_McPherson.html,McPherson,15:30.33,SO-2
737,https://tf.tfrrs.org/athletes/3757346/Friends/Mitch_Heller,"Heller, Mitch","Apr 8, 2015",9,https://tf.tfrrs.org/teams/tf/KS_college_m_Friends.html,Friends,15:31.33,SR-4
738,https://tf.tfrrs.org/athletes/5037013/StMary-KS/John_C_Graham,"Graham, John C","Apr 10, 2015",10,https://tf.tfrrs.org/teams/tf/KS_college_m_StMary-KS.html,St. Mary (Kan.),15:31.77,FR-1
739,https://tf.tfrrs.org/athletes/4572007/Friends/Maxwell_Burley,"Burley, Maxwell","Apr 8, 2015",11,https://tf.tfrrs.org/teams/tf/KS_college_m_Friends.html,Friends,15:35.19,SO-2
740,https://tf.tfrrs.org/athletes/5036953/StMary-KS/Patrick_Rachford,"Rachford, Patrick","Mar 27, 2015",12,https://tf.tfrrs.org/teams/tf/KS_college_m_StMary-KS.html,St. Mary (Kan.),15:39.19,JR-3
741,https://tf.tfrrs.org/athletes/4593133/StMary-KS/Jacob_Sherman,"Sherman, Jacob","Apr 8, 2015",13,https://tf.tfrrs.org/teams/tf/KS_college_m_StMary-KS.html,St. Mary (Kan.),15:42.78,SO-2
